fips,lifeExp,se
8059009845,80.2,3.0604
8059009847,81.9,2.4072
8059009849,78.1,1.7221
8059009850,81.3,2.8754
8059009851,85,2.3186
8059009852,81.8,1.4539
8059010000,80.4,1.012
8059010100,79.3,2.1949
8059010205,82.2,1.6901
8059010206,82,1.5629
8059010208,80.1,2.2523
8059010210,79.4,1.0921
8059010211,78.9,1.3011
8059010212,77.5,1.2652
8059010213,77.2,1.2293
8059010303,78.3,1.4142
8059010304,80.6,1.8322
8059010305,77.5,1.4764
8059010306,79.4,1.2837
8059010307,78.7,1.6055
8059010308,80.1,1.5044
8059010402,74.8,1.1909
8059010403,74.9,1.5419
8059010405,80.8,3.5672
8059010406,73.9,1.8026
8059010502,79.4,1.23
8059010503,78.8,1.87
8059010504,80.7,1.3178
8059010603,74.4,1.9245
8059010604,75.7,2.2485
8059010701,78.9,1.371
8059010702,73.1,1.4604
8059010801,81.7,1.7896
8059010901,80.8,2.1307
8059010902,70.7,2.0434
8059011000,75.6,1.218
8059011100,76.3,1.4426
8059011202,79.8,1.3249
8059011300,73.5,1.4077
8059011401,67.3,1.6086
8059011402,77.3,1.8796
8059011550,75.6,1.8375
8059011601,73.2,1.1388
8059011602,69.7,1.1524
8059011701,80.5,1.2128
8059011702,79.5,1.0754
8059011709,79.4,2.1765
8059011710,82.4,2.4737
8059011711,77.7,1.3204
8059011712,82,1.0451
8059011720,83.6,2.3531
8059011721,77.8,1.4982
8059011723,76.3,1.538
8059011724,83.8,3.1644
8059011725,82.1,1.4937
8059011726,82.5,1.5028
8059011727,80,1.3594
8059011728,81.8,1.8426
8059011729,79.3,1.0661
8059011730,80.2,2.6004
8059011731,81.1,2.1075
8059011733,78.7,3.391
8059011803,79.4,0.9419
8059011804,83.9,1.8089
8059011805,73.8,1.5531
8059011806,78.5,1.0496
8059011904,81.9,2.4597
8059011951,78.9,1.3666
8059012022,81.8,2.0788
8059012023,81.1,2.8106
8059012024,83.2,1.9064
8059012026,85.8,3.2374
8059012027,76.5,1.8375
8059012031,83.4,2.8329
8059012032,82.2,1.717
8059012033,78.4,1.7268
8059012035,83.5,1.8257
8059012036,82.1,2.9117
8059012037,81.4,2.1993
8059012038,81.3,3.496
8059012039,79.7,2.5385
8059012041,78.1,2.8703
8059012042,87.1,3.4972
8059012045,78.4,1.6491
8059012046,81.5,2.5638
8059012047,83.6,3.7412
8059012049,83.9,2.0359
8059012050,84.9,2.8444
8059012051,82.2,1.43
8059012052,77.6,3.5079
8059012053,83.7,2.2415
8059012054,81.5,1.3209
8059012055,79.7,1.5489
8059012057,77.7,1.1786
8059012059,78.7,1.2674
8059012060,78.5,2.1431
8059015800,79.7,1.5224
8059015900,85.1,3.5985
8059060300,82.3,1.6441
8059060400,80.1,1.9014
8059060500,79,1.0407
8061960100,78.2,0.8861
8063962100,80.4,1.1703
8063962200,79,1.7703
8063962300,80.7,2.3294
8065961700,78.6,2.1789
8067940300,85.5,1.869
8067940400,81.2,1.3902
8067970600,86.1,2.8073
8067970701,82.6,1.4111
8067970703,81.9,1.9626
8067970704,82.1,2.2269
8067970800,78.9,1.1234
8067970900,81.9,2.2257
8067971000,80.5,1.6228
8067971100,76.5,1.5842
8069000202,77.3,2.1723
8069000300,81.4,1.8505
8069000401,76.1,2.9307
8069000402,79.9,2.3103
8069000503,75.2,3.37
8069000700,78.8,2.5341
8069000801,79.4,1.7307
8069000802,68.8,1.7622
8069000901,78.9,1.5111
8069000902,85,2.1454
8069001003,78.7,1.5696
8069001004,85.8,2.1217
8069001007,87.2,2.8071
8069001008,80.7,2.8223
8069001009,80.3,1.0936
8069001010,79.5,2.0454
8069001104,79.8,2.012
8069001106,80.8,2.8494
8069001107,78.6,1.7957
8069001109,81.6,1.696
8069001110,79.8,1.6362
8069001112,76.4,1.3039
8069001113,80.2,1.8653
8069001114,81.9,1.218
8069001301,84.1,3.2128
8069001304,80.2,3.9798
8069001305,78,3.278
8069001307,79.9,1.8855
8069001308,84.2,1.6414
8069001601,77.4,1.8433
8069001602,85.3,1.7851
8069001603,80,1.9139
8069001605,81.4,3.6054
8069001607,80.8,2.2655
8069001608,83.1,2.568
8069001704,78.1,1.2264
8069001706,79.1,1.6585
8069001707,78.5,2.0131
8069001708,79.4,2.0655
8069001709,84.6,1.8855
8069001804,80.3,2.2322
8069001806,81.5,1.2679
8069001807,81.8,1.794
8069001808,83.4,1.6116
8069001809,81.2,1.2685
8069001901,75.6,1.2272
8069001902,81.1,1.0207
8069001903,81.4,1.9091
8069002005,80.9,2.0899
8069002007,77.5,1.4667
8069002008,78.1,1.3211
8069002010,80.3,1.8999
8069002011,81.7,1.3795
8069002300,83.9,2.1607
8069002501,85.4,2.2265
8069002502,80.8,2.0552
8069002503,83.7,2.6268
8069002600,81.3,1.5499
8069002700,79.9,1.402
8069002801,84.6,1.9674
8069002802,82.7,2.0212
8071000100,78,1.7099
8071000200,82.4,2.3547
8071000300,80.7,3.3018
8071000400,75.7,2.3231
8071000500,72.7,1.6379
8071000800,82.2,2.1378
8073961700,83.3,1.8707
8073961800,78.3,1.7209
8075965900,78.9,1.6767
8075966000,77.5,2.376
8075966100,78.7,0.8399
8075966200,78,1.9059
8075966300,78.7,0.7508
8075966400,77.3,1.4216
8077000200,74.3,1.5515
8077000300,73,2.384
8077000400,78.1,1.8163
8077000601,74.6,1.4523
8077000602,75.4,1.9444
8077000700,72.8,1.2523
8077000800,77.8,1.777
8077000900,78.6,2.0785
8077001001,79,1.7644
8077001002,81.7,1.0784
8077001101,78.9,1.6838
8077001102,81.2,1.4078
8077001200,82.2,2.6381
8077001301,76.7,1.2868
8077001302,82.1,1.6683
8077001402,83.1,1.6173
8077001403,80.9,1.59
8077001501,77.8,1.0552
8077001502,81.2,1.5608
8077001600,78.7,1.9502
8077001702,79.5,0.7134
8077001703,78.3,1.5234
8077001705,73.6,1.2005
8077001706,76.8,1.5553
8077001707,77.3,2.829
8077001800,83.8,2.1097
8077001900,79.9,1.3413
8081000300,79,1.7097
8081000400,75.4,1.2317
8081000500,79.7,2.1626
8081000600,77.6,1.2438
8083941100,75.5,3.0097
8083969000,80.4,1.2205
8083969100,80.4,1.6494
8083969200,86.2,3.5001
8083969300,76.6,1.3905
8083969400,79.5,1.6946
8083969600,87.2,2.9703
8085966100,78.2,0.8957
8085966201,82.6,3.046
8085966202,81.4,1.5751
8085966300,76.5,1.1941
8085966400,77.3,1.0348
8085966501,79,2.5634
8085966502,82.1,1.8073
8085966503,77.1,2.8977
8085966601,79.3,1.9677
8085966602,80.3,1.7931
8087000100,84.4,3.3211
8087000200,81.4,2.0767
8087000300,80,3.9121
8087000400,78.2,1.3152
8087000500,77.8,2.2802
8087000600,79.6,1.4829
8087000700,75.2,1.1848
8087000800,81.1,3.169
8089968000,74.9,1.6224
8089968100,72.3,1.8101
8089968200,77.5,1.476
8089968300,77.5,1.4227
8089968400,78.9,3.0477
8089968500,83.8,3.6428
8089968600,73.7,1.1686
8091967600,83.2,2.3893
8093000100,79.9,1.5014
8093000200,81,2.4245
8095967600,79.6,1.6357
8095967700,80.6,1.8695
8097000100,82.6,2.6758
8097000401,81.9,2.1525
8097000402,82.6,1.8201
8097000500,82.6,3.878
8099000100,82.4,3.102
8099000200,72.8,2.6284
8099000300,77.3,1.3898
8099000600,79.9,2.013
8099000700,81.9,2.1828
8101000100,74.8,1.7732
8101000200,77.8,2.4391
8101000400,75.1,1.7002
8101000500,75,2.4942
8101000600,68.8,2.1326
8101000800,73.7,2.623
8101000902,75.5,1.2929
8101000904,77.1,1.5837
8101000905,71.1,1.9807
8101001000,73.7,1.3493
8101001100,77,3.6269
8101001200,71.6,2.075
8101001400,70.2,2.3906
8101001500,75.2,1.3831
8101001600,77.6,1.3927
8101001700,79.2,1.1311
8101001800,76.4,1.8236
8101001900,78.5,1.4708
8101002000,73.8,3.0712
8101002100,68.8,2.0327
8101002200,70.4,2.3661
8101002300,72.1,1.801
8101002400,74.7,2.3463
8101002500,73.5,1.7211
8101002600,67.9,1.463
8101002700,76.1,1.3068
8101002801,77.1,1.2836
8101002802,79.7,1.9834
8101002804,80.4,1.3048
8101002806,82,1.9521
8101002808,81.5,2.5871
8101002901,72.8,1.9789
8101002903,78.7,1.3419
8101002906,82.5,2.4798
8101002911,80.5,2.1702
8101002912,77.9,1.9034
8101002913,81.7,1.6699
8101002914,76.6,1.3793
8101002915,81,2.1162
8101002916,77.2,1.7174
8101002917,80.8,2.3362
8101002918,80.9,2.4914
8101003001,77.7,1.742
8101003004,79.8,1.4303
8101003103,75.6,2.4847
8101003104,79,1.5729
8101003105,79.7,1.431
8101003106,74.8,2.8249
8101003200,81,2.0229
8101003500,74.8,3.3161
8101003600,75.1,1.5172
8103951100,79.4,1.5414
8103951200,78.5,1.2344
8105976700,74.4,1.262
8105976800,74.8,1.7069
8105977000,87.6,2.6051
8107000100,81.4,3.1365
8107000200,83.9,2.4348
8107000300,83.9,2.0512
8107000400,77.7,3.2215
8107000500,81.9,2.1497
8107000600,82.2,3.4855
8107000700,81.7,2.6941
8107000800,81.4,1.5724
8109977600,87.5,3.2368
8109977700,77.7,1.391
8113968200,80.4,2.1492
8115968300,76.1,1.5101
8117000200,82.4,3.7362
8117000401,81.7,3.1558
8119010103,79,1.1292
8119010104,77.7,2.1035
8119010105,82.5,3.9907
8119010106,84,3.7125
8119010201,78.7,1.6808
8121924100,80,1.5268
8121924200,80.3,1.2914
8123000100,75.6,1.3044
8123000401,78.5,1.7249
8123000402,80.4,2.9412
